file	sum	amin	amax	ptp	percentile10	mean	median	std	var
planetlab-workload-traces/merkur_planetlab_haw-hamburg_de_yale_p4p	4381	12	18	6	14.0	15.211805555555555	15.0	1.0139305071366924	1.0280550733024705
planetlab-workload-traces/20110303/planetlab04_cnds_unibe_ch_uw_oneswarm	3486	0	44	44	6.0	12.104166666666666	11.0	6.1826580381472418	38.2252604166667
planetlab-workload-traces/20110303/planetlab3_rutgers_edu_ rnp_dcc_ufjf	10486	27	39	12	34.0	36.409722222222221	37.0	1.7516388930736804	3.0682388117283881
planetlab-workload-traces/20110303/planetlab2-santiago_lan_redclara_net_uw_oneswarm	8431	0	71	71	13.0	29.274305555555557	27.0	13.957939031882432	194.82406201774708
planetlab-workload-traces/20110303/pads21_cs_nthu_edu_tw_princeton_codeen	705	0	19	19	0.0	2.4479166666666665	2.0	2.1402384586120831	4.580620659722225
planetlab-workload-traces/20110303/ricepl-1_cs_rice_edu_uw_oneswarm	10184	7	97	90	18.700000000000003	35.361111111111114	34.0	15.329307039817149	234.98765432098762
planetlab-workload-traces/20110303/planet02_hhi_fraunhofer_de_pl_drl	579	0	60	60	0.0	2.0104166666666665	2.0	6.2369220813323603	38.899197048611178
planetlab-workload-traces/20110303/planetlab2_ntu_nodes_planet-lab_org_pl_drl	367	0	31	31	0.0	1.2743055555555556	0.5	2.2433001027682962	5.0323953510802477
planetlab-workload-traces/20110303/planet12_csc_ncsu_edu_yale_p4p	24026	41	97	56	69.0	83.423611111111114	86.0	10.887416195053859	118.53583140432106
planetlab-workload-traces/20110303/planetlab-2_cs_ucy_ac_cy_princeton_comon	1231	0	95	95	0.0	4.2743055555555554	2.0	14.438246116015472	208.46295090663585
planetlab-workload-traces/20110303/planet1_jaist_ac_jp_nyu_d	445	0	18	18	0.0	1.5451388888888888	2.0	1.7632565303497396	3.109073591821002
planetlab-workload-traces/20110303/planetlab1_koganei_wide_ad_jp_uw_oneswarm	9689	4	78	74	14.700000000000003	33.642361111111114	31.0	15.605617221680102	243.53528886959862
planetlab-workload-traces/20110303/planetlab-1_imperial_ac_uk_arizona_owl	2976	0	90	90	0.0	10.333333333333334	3.0	14.963845316851794	223.91666666666734
planetlab-workload-traces/20110303/planetlab2-santiago_lan_redclara_net_root	1597	0	84	84	0.0	5.5451388888888893	4.0	6.7400681032364558	45.42851803626548
planetlab-workload-traces/20110303/planetlab2_unineuchatel_ch_princeton_codeen	1957	0	43	43	4.0	6.7951388888888893	6.0	4.0435619243762666	16.350393036265494
planetlab-workload-traces/20110303/planetlab1_iii_u-tokyo_ac_jp_princeton_codeen	1238	0	38	38	2.0	4.2986111111111107	4.0	3.4481876501993982	11.889998070987646
planetlab-workload-traces/20110303/planetlab-1_imperial_ac_uk_arizona_stork_install	2341	0	65	65	0.0	8.1284722222222214	2.0	11.939408155781383	142.54946711033901
planetlab-workload-traces/20110303/planetlab1_pop-mg_rnp_br_uw_oneswarm	1961	0	35	35	4.0	6.8090277777777777	6.0	3.5971132946828273	12.939224054783946
planetlab-workload-traces/20110303/onelab10_pl_sophia_inria_fr_irisaple_HEAP	4171	7	33	26	11.0	14.482638888888889	15.0	3.6495401129821041	13.31914303626543
planetlab-workload-traces/20110303/planetlab2-buenosaires_lan_redclara_net_nyu_d	599	0	10	10	0.0	2.0798611111111112	2.0	1.883004390931001	3.5457055362654297
planetlab-workload-traces/20110303/planetlab1_jhu_edu_uw_oneswarm	2525	0	59	59	2.0	8.7673611111111107	8.0	6.5652211803850573	43.102129147376566
planetlab-workload-traces/20110303/plgmu4_ite_gmu_edu_uw_oneswarm	4523	0	57	57	6.0	15.704861111111111	14.5	8.5569808235173177	73.221920814043102
planetlab-workload-traces/20110303/planetlab-node1_it-sudparis_eu_tum_i2p	827	0	68	68	0.0	2.8715277777777777	1.0	5.5063872406209171	30.320300443672842
planetlab-workload-traces/20110303/planet2_scs_stanford_edu_uw_seattle	393	0	14	14	0.0	1.3645833333333333	1.0	1.889957699041612	3.5719401041666643
planetlab-workload-traces/20110303/planetlab1_willab_fi_tum_i2p	927	0	30	30	0.0	3.21875	2.0	4.4006071037919803	19.365342881944443
planetlab-workload-traces/20110303/planet4_cc_gt_atl_ga_us_uw_oneswarm	9240	10	90	80	17.0	32.083333333333336	30.0	13.896942109687302	193.12500000000017
planetlab-workload-traces/20110303/planetlab2_koganei_wide_ad_jp_root	1861	0	71	71	0.0	6.4618055555555554	2.0	12.141466462132172	147.41520785108034
planetlab-workload-traces/20110303/planetlab02_just_edu_jo_uw_oneswarm	2682	0	27	27	4.0	9.3125	8.0	4.9909205758501551	24.909288194444443
planetlab-workload-traces/20110303/planet1_scs_cs_nyu_edu_due_test	707	0	10	10	0.0	2.4548611111111112	2.0	2.1060537696625619	4.4354624807098872
planetlab-workload-traces/20110303/peace_informatik_rwth-aachen_de_root	2378	0	85	85	2.0	8.2569444444444446	4.0	12.055281534904216	145.32981288580257
planetlab-workload-traces/20110303/pl4_unm_edu_uw_oneswarm	2575	1	26	25	5.0	8.9409722222222214	8.0	3.7202507605604516	13.840265721450619
planetlab-workload-traces/20110303/planetlab2_eecs_ucf_edu_nyu_d	406	0	6	6	0.0	1.4097222222222223	2.0	1.5088313839066709	2.2765721450617198
planetlab-workload-traces/20110303/planetlab2_cs_uiuc_edu_uw_oneswarm	8598	0	79	79	13.700000000000003	29.854166666666668	28.0	14.192118680411641	201.41623263888903
planetlab-workload-traces/20110303/planet3_prakinf_tu-ilmenau_de_nyu_d	409	0	7	7	0.0	1.4201388888888888	2.0	1.641648894197834	2.6950110918209709
planetlab-workload-traces/20110303/planetlab2_informatik_uni-erlangen_de_uw_oneswarm	997	0	63	63	0.0	3.4618055555555554	2.0	6.0654932075702002	36.79020785108024
planetlab-workload-traces/20110303/planetlab2_eecs_ucf_edu_ucr_slice2	408	0	4	4	0.0	1.4166666666666667	2.0	1.1149240133549709	1.2430555555555554
planetlab-workload-traces/20110303/planetlab2_cs_columbia_edu_purdue_4	987	0	25	25	0.0	3.4270833333333335	1.0	4.6489502810072958	21.612738715277811
planetlab-workload-traces/20110303/mtuplanetlab2_cs_mtu_edu_princeton_codeen	980	0	45	45	1.0	3.4027777777777777	3.0	4.2586830326803522	18.136381172839524
planetlab-workload-traces/20110303/planetlab2_cs_uoi_gr_uw_oneswarm	6860	4	65	61	11.700000000000003	23.819444444444443	22.0	10.871505043625753	118.18962191358018
planetlab-workload-traces/20110303/planetlab2_cs_purdue_edu_uw_oneswarm	2212	0	48	48	0.0	7.6805555555555554	8.0	6.1628961195404592	37.981288580246854
planetlab-workload-traces/20110303/node-2_mcgillplanetlab_org_ rnp_dcc_ufjf	9352	20	37	17	28.0	32.472222222222221	34.0	3.2626770800057838	10.645061728395067
planetlab-workload-traces/20110303/planetlab2_cs_purdue_edu_nyu_d	529	0	12	12	0.0	1.8368055555555556	2.0	2.174129663917197	4.7268397955247048
planetlab-workload-traces/20110303/planetlab2_win_trlabs_ca_uw_oneswarm	7663	0	74	74	13.0	26.607638888888889	25.0	12.993943994656325	168.84258053626516
planetlab-workload-traces/20110303/planetlab2_pc_cis_udel_edu_uw_trs2	2649	0	71	71	2.0	9.1979166666666661	9.0	8.0475407626422815	64.762912326389099
planetlab-workload-traces/20110303/planetlab-1_cs_colostate_edu_root	5380	0	97	97	0.0	18.680555555555557	2.0	28.164978444913945	793.26601080246712
planetlab-workload-traces/20110303/planetlab-1_cs_uh_edu_due_test	17641	28	91	63	44.0	61.253472222222221	61.0	13.814054905916398	190.82811294367289
planetlab-workload-traces/20110303/stella_planetlab_ntua_gr_nyu_d	634	0	14	14	0.0	2.2013888888888888	2.0	2.4890869061853222	6.1955536265432185
planetlab-workload-traces/20110303/planet1_l3s_uni-hannover_de_ufl_test3	414	0	14	14	0.0	1.4375	2.0	1.5864826136246604	2.516927083333333
planetlab-workload-traces/20110303/planetlab1_iii_u-tokyo_ac_jp_uw_oneswarm	11863	7	86	79	22.0	41.190972222222221	41.0	14.068100308037552	197.91144627700626
planetlab-workload-traces/20110303/aladdin_planetlab_extranet_uni-passau_de_uw_trs2	1087	0	88	88	0.0	3.7743055555555554	2.0	8.7710718219973636	76.931700906636152
planetlab-workload-traces/20110303/planetlab2-santiago_lan_redclara_net_nyu_d	371	0	6	6	0.0	1.2881944444444444	1.0	1.5127695594402784	2.2884717399691339
planetlab-workload-traces/20110303/pl2_cis_uab_edu_uw_oneswarm	2660	0	38	38	4.0	9.2361111111111107	8.0	5.2914843946444261	27.999807098765491
planetlab-workload-traces/20110303/planet1_cs_rochester_edu_princeton_codeen	996	0	14	14	2.0	3.4583333333333335	2.0	2.3537057070830989	5.53993055555555
planetlab-workload-traces/20110303/jupiter_cs_brown_edu_root	3843	0	95	95	2.0	13.34375	6.0	16.837970560734647	283.51725260416663
planetlab-workload-traces/20110303/kupl1_ittc_ku_edu_pl_drl	438	0	37	37	0.0	1.5208333333333333	1.0	3.4850250078809464	12.145399305555589
planetlab-workload-traces/20110303/pl-node-0_csl_sri_com_tum_i2p	1178	0	34	34	0.0	4.0902777777777777	2.0	5.3012225980381755	28.102961033950624
planetlab-workload-traces/20110303/planetlab2_sics_se_uw_oneswarm	12659	1	85	84	20.700000000000003	43.954861111111114	45.0	17.089268602535288	292.04310136959845
planetlab-workload-traces/20110303/ds-pl1_technion_ac_il_root	7018	0	97	97	0.0	24.368055555555557	2.0	31.709454979674881	1005.4895351080281
planetlab-workload-traces/20110303/planetlab1_cs_ucl_ac_uk_nyu_d	421	0	11	11	0.0	1.4618055555555556	1.0	1.7456094338438672	3.0471522955247066
planetlab-workload-traces/20110303/pl1_6test_edu_cn_uka_p2pns	567	0	9	9	0.0	1.96875	2.0	1.7407680596506818	3.0302734375
planetlab-workload-traces/20110303/pads23_cs_nthu_edu_tw_uw_oneswarm	2365	2	20	18	4.0	8.2118055555555554	8.0	3.3922296119173763	11.507221739969113
planetlab-workload-traces/20110303/planetlab1_cnds_jhu_edu_tum_i2p	657	0	31	31	0.0	2.28125	2.0	3.2925730555887274	10.841037326388888
planetlab-workload-traces/20110303/planet1_scs_cs_nyu_edu_nyu_d	724	0	11	11	0.0	2.5138888888888888	2.0	2.116358609837214	4.4789737654321042
